url,name,best_price,tradeable,holding_period,type,created,description,material
https://www.roblox.com/catalog/1213472762/Catching-Snowflakes,Catching Snowflakes,"32,000",Yes,Yes,Face,"Dec 01, 2017",There is no greater joy than catching fresh snowflakes on your tongue!,N/A
https://www.roblox.com/catalog/362051999/Purple-Bubble-Trouble,Purple Bubble Trouble,"65,000",Yes,Yes,Face,"Feb 12, 2016",Grape gum for the win!,N/A
https://www.roblox.com/catalog/130213380/ROBLOX-Madness-Face,ROBLOX Madness Face,"76,398",Yes,Yes,Face,"Sep 21, 2013",I'm just mad about ROBLOX!  This face will only be available during Virtual BLOXcon.,N/A
https://www.roblox.com/catalog/209995252/Blizzard-Beast-Mode,Blizzard Beast Mode,"110,000",Yes,Yes,Face,"Jan 31, 2015",Blizzard Beast Mode- Activated!,N/A
https://www.roblox.com/catalog/2409285794/Playful-Vampire,Playful Vampire,"103,500",Yes,Yes,Face,"Sep 27, 2018","But first, let me take a skellfie, because I look so good it's scary.",N/A
https://www.roblox.com/catalog/10159600649/8-Bit-Royal-Crown,8-Bit Royal Crown,"26,500",Yes,Yes,Hat,"Jul 09, 2022",Perfect for sending adventurers out to save the princess.,Basic
https://www.roblox.com/catalog/398674411/Black-Iron-Antlers,Black Iron Antlers,"14,500",Yes,Yes,Hat,"Apr 15, 2016",Beautiful and strong.,Basic
https://www.roblox.com/catalog/76233968067050/Snowflake-Eyes,Snowflake Eyes,"28,300",Yes,Yes,Face,"Dec 17, 2024",A look that’s as cold as ice.,N/A
https://www.roblox.com/catalog/128992838/Beast-Mode,Beast Mode,"140,000",Yes,Yes,Face,"Sep 07, 2013",Beast Mode- Activated!,N/A
https://www.roblox.com/catalog/330296924/Blue-Bubble-Trouble,Blue Bubble Trouble,"52,000",Yes,Yes,Face,"Dec 12, 2015",Why is raspberry gum blue? IDK... but I love it.,N/A
https://www.roblox.com/catalog/494291269/Super-Super-Happy-Face,Super Super Happy Face,"274,888",Yes,Yes,Face,"Sep 03, 2016",I am not sure I have ever been this happy.,N/A
https://www.roblox.com/catalog/628771505/Black-Iron-Horns,Black Iron Horns,"138,969",Yes,Yes,Hat,"Jan 27, 2017","Hewn from heavy metal dark as night, these horns give off an eerie sheen.",Basic
https://www.roblox.com/catalog/162066057/Adurite-Antlers,Adurite Antlers,"20,000",Yes,Yes,Hat,"Jun 19, 2014",Can you peacock with antlers? Yes.,Basic
